Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,4521774.24,211044.93,849989.70,2334,0,1812,0,4806,0,534,0,41,0.7640150422034975,5172
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,14465833.16,299242.62,115520.00,3758,0,1093,0,7912,0,1417,0,59,0.934703857686768,11640
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,1525334.70,19232.65,13990.00,506,0,252,0,1249,0,178,0,14,0.7936447853421942,1452
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,6732931.82,3336716.78,2993868.00,2556,0,1197,0,6158,0,990,0,28,0.94725371304973,8880
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,4281430.83,1457859.79,2574057.00,1153,0,465,0,3017,0,455,0,45,0.4751740033595088,8652
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,1604798.12,369212.49,790213.00,519,0,199,0,1211,0,301,0,11,0.9439485189484416,1596
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,1345602.63,1138537.86,358250.22,857,0,435,0,2098,0,338,0,27,0.9243908929567779,3132
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,1619806.61,981075.24,392076.00,975,0,680,0,1978,0,267,0,24,0.9443575834188613,2880
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,321407.52,163111.51,391006.20,234,0,68,0,561,0,108,0,17,0.9424482690794347,1236
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,14186096.58,0.00,0,3848,0,1036,0,9000,0,1489,47,0.9949905681232895,16692
